İL1,İL2,MESAFE
19,Unnamed: 3,697
20,Unnamed: 3,1098
21,Unnamed: 3,206
22,Unnamed: 3,1414
23,Unnamed: 3,283
24,Unnamed: 3,546
25,Unnamed: 3,521
26,Unnamed: 3,952
27,Unnamed: 3,151
28,Unnamed: 3,698
29,Unnamed: 3,677
30,Unnamed: 3,652
31,Unnamed: 3,316
32,Unnamed: 3,956
33,Unnamed: 3,407
34,Unnamed: 3,1182
35,Unnamed: 3,1243
36,Unnamed: 3,726
37,Unnamed: 3,868
38,Unnamed: 3,414
39,Unnamed: 3,1391
40,Unnamed: 3,549
41,Unnamed: 3,1072
42,Unnamed: 3,695
43,Unnamed: 3,1012
44,Unnamed: 3,186
45,Unnamed: 3,1223
46,Unnamed: 3,162
47,Unnamed: 3,294
48,Unnamed: 3,1193
49,Unnamed: 3,455
50,Unnamed: 3,497
51,Unnamed: 3,544
52,Unnamed: 3,728
53,Unnamed: 3,770
54,Unnamed: 3,1034
55,Unnamed: 3,752
56,Unnamed: 3,384
57,Unnamed: 3,877
58,Unnamed: 3,410
59,Unnamed: 3,1313
60,Unnamed: 3,513
61,Unnamed: 3,770
62,Unnamed: 3,419
63,Unnamed: 3,111
64,Unnamed: 3,1027
65,Unnamed: 3,569
66,Unnamed: 3,613
67,Unnamed: 3,996
68,Unnamed: 3,573
69,Unnamed: 3,674
70,Unnamed: 3,630
71,Unnamed: 3,658
72,Unnamed: 3,297
73,Unnamed: 3,464
74,Unnamed: 3,1014
75,Unnamed: 3,751
76,Unnamed: 3,746
77,Unnamed: 3,1137
78,Unnamed: 3,945
79,Unnamed: 3,210
80,Unnamed: 3,244
81,Unnamed: 3,966
İL PLAKA NO,Unnamed: 4,AFYONKARAHİSAR
01,Unnamed: 4,578
02,Unnamed: 4,915
04,Unnamed: 4,1320
05,Unnamed: 4,595
06,Unnamed: 4,255
07,Unnamed: 4,287
08,Unnamed: 4,1224
09,Unnamed: 4,340
10,Unnamed: 4,324
11,Unnamed: 4,207
12,Unnamed: 4,1087
13,Unnamed: 4,1278
14,Unnamed: 4,417
15,Unnamed: 4,166
16,Unnamed: 4,278
17,Unnamed: 4,515
18,Unnamed: 4,398
19,Unnamed: 4,504
20,Unnamed: 4,221
21,Unnamed: 4,1098
22,Unnamed: 4,682
23,Unnamed: 4,949
24,Unnamed: 4,955
25,Unnamed: 4,1140
26,Unnamed: 4,140
27,Unnamed: 4,794
28,Unnamed: 4,865
29,Unnamed: 4,1027
30,Unnamed: 4,1485
31,Unnamed: 4,774
32,Unnamed: 4,167
33,Unnamed: 4,571
34,Unnamed: 4,450
35,Unnamed: 4,327
36,Unnamed: 4,1342
37,Unnamed: 4,504
38,Unnamed: 4,513
39,Unnamed: 4,659
40,Unnamed: 4,425
41,Unnamed: 4,340
42,Unnamed: 4,226
43,Unnamed: 4,97
44,Unnamed: 4,852
45,Unnamed: 4,307
46,Unnamed: 4,772
47,Unnamed: 4,1127
48,Unnamed: 4,348
49,Unnamed: 4,1196
50,Unnamed: 4,434
51,Unnamed: 4,461
52,Unnamed: 4,823
53,Unnamed: 4,1076
54,Unnamed: 4,302
55,Unnamed: 4,676
56,Unnamed: 4,1285
57,Unnamed: 4,674
58,Unnamed: 4,706
59,Unnamed: 4,581
60,Unnamed: 4,645
61,Unnamed: 4,997
62,Unnamed: 4,1078
63,Unnamed: 4,933
64,Unnamed: 4,112
65,Unnamed: 4,1412
66,Unnamed: 4,479
67,Unnamed: 4,483
68,Unnamed: 4,358
69,Unnamed: 4,1079
70,Unnamed: 4,339
71,Unnamed: 4,338
72,Unnamed: 4,1197
73,Unnamed: 4,1297
74,Unnamed: 4,517
75,Unnamed: 4,1361
76,Unnamed: 4,1464
77,Unnamed: 4,346
78,Unnamed: 4,448
79,Unnamed: 4,830
80,Unnamed: 4,667
81,Unnamed: 4,371
İL PLAKA NO,Unnamed: 5,AĞRI
01,Unnamed: 5,978
02,Unnamed: 5,647
03,Unnamed: 5,1320
05,Unnamed: 5,740
06,Unnamed: 5,1055
07,Unnamed: 5,1424
08,Unnamed: 5,364
09,Unnamed: 5,1624
10,Unnamed: 5,1579
11,Unnamed: 5,1361
12,Unnamed: 5,359
13,Unnamed: 5,237
14,Unnamed: 5,1146
15,Unnamed: 5,1391
16,Unnamed: 5,1417
17,Unnamed: 5,1696
18,Unnamed: 5,985
19,Unnamed: 5,830
20,Unnamed: 5,1505
21,Unnamed: 5,441
22,Unnamed: 5,1641
23,Unnamed: 5,499
24,Unnamed: 5,370
25,Unnamed: 5,182
26,Unnamed: 5,1298
27,Unnamed: 5,762
28,Unnamed: 5,542
29,Unnamed: 5,380
30,Unnamed: 5,428
31,Unnamed: 5,956
32,Unnamed: 5,1362
33,Unnamed: 5,1048
34,Unnamed: 5,1409
35,Unnamed: 5,1647
36,Unnamed: 5,214
37,Unnamed: 5,990
38,Unnamed: 5,816
39,Unnamed: 5,1617
40,Unnamed: 5,940
41,Unnamed: 5,1298
42,Unnamed: 5,1111
43,Unnamed: 5,1377
44,Unnamed: 5,593
45,Unnamed: 5,1627
46,Unnamed: 5,815
47,Unnamed: 5,518
48,Unnamed: 5,1632
49,Unnamed: 5,246
50,Unnamed: 5,888
51,Unnamed: 5,937
52,Unnamed: 5,584
53,Unnamed: 5,429
54,Unnamed: 5,1261
55,Unnamed: 5,731
56,Unnamed: 5,333
57,Unnamed: 5,891
58,Unnamed: 5,618
59,Unnamed: 5,1539
60,Unnamed: 5,674
61,Unnamed: 5,474
62,Unnamed: 5,418
63,Unnamed: 5,618
64,Unnamed: 5,1432
65,Unnamed: 5,233
66,Unnamed: 5,841
67,Unnamed: 5,1205
68,Unnamed: 5,964
69,Unnamed: 5,304
70,Unnamed: 5,1112
71,Unnamed: 5,985
72,Unnamed: 5,370
73,Unnamed: 5,429
74,Unnamed: 5,1171
75,Unnamed: 5,305
76,Unnamed: 5,144
77,Unnamed: 5,1363
78,Unnamed: 5,1106
79,Unnamed: 5,817
80,Unnamed: 5,885
81,Unnamed: 5,1192
İL PLAKA NO,Unnamed: 6,AMASYA
01,Unnamed: 6,602
02,Unnamed: 6,623
03,Unnamed: 6,595
04,Unnamed: 6,740
06,Unnamed: 6,330
07,Unnamed: 6,822
08,Unnamed: 6,679
09,Unnamed: 6,934
10,Unnamed: 6,844
11,Unnamed: 6,626
12,Unnamed: 6,641
13,Unnamed: 6,832
14,Unnamed: 6,411
15,Unnamed: 6,760
16,Unnamed: 6,682
17,Unnamed: 6,962
18,Unnamed: 6,245
19,Unnamed: 6,91
20,Unnamed: 6,816
21,Unnamed: 6,703
22,Unnamed: 6,906
23,Unnamed: 6,535
24,Unnamed: 6,375
25,Unnamed: 6,560
26,Unnamed: 6,573
27,Unnamed: 6,576
28,Unnamed: 6,320
29,Unnamed: 6,436
30,Unnamed: 6,1168
31,Unnamed: 6,673
32,Unnamed: 6,723
33,Unnamed: 6,635
34,Unnamed: 6,674
35,Unnamed: 6,922
36,Unnamed: 6,762
37,Unnamed: 6,255
38,Unnamed: 6,341
39,Unnamed: 6,883
40,Unnamed: 6,312
41,Unnamed: 6,563
42,Unnamed: 6,509
43,Unnamed: 6,652
44,Unnamed: 6,457
45,Unnamed: 6,902
46,Unnamed: 6,500
47,Unnamed: 6,798
48,Unnamed: 6,943
49,Unnamed: 6,751
50,Unnamed: 6,355
51,Unnamed: 6,435
52,Unnamed: 6,278
53,Unnamed: 6,531
54,Unnamed: 6,526
55,Unnamed: 6,131
56,Unnamed: 6,890
57,Unnamed: 6,256
58,Unnamed: 6,221
59,Unnamed: 6,805
60,Unnamed: 6,112
61,Unnamed: 6,452
62,Unnamed: 6,498
63,Unnamed: 6,706
64,Unnamed: 6,707
65,Unnamed: 6,972
66,Unnamed: 6,199
67,Unnamed: 6,471
68,Unnamed: 6,420
69,Unnamed: 6,457
70,Unnamed: 6,621
71,Unnamed: 6,260
72,Unnamed: 6,803
73,Unnamed: 6,996
74,Unnamed: 6,436
75,Unnamed: 6,781
76,Unnamed: 6,884
77,Unnamed: 6,628
78,Unnamed: 6,371
79,Unnamed: 6,639
80,Unnamed: 6,602
81,Unnamed: 6,458
İL PLAKA NO,Unnamed: 7,ANKARA
01,Unnamed: 7,491
02,Unnamed: 7,732
03,Unnamed: 7,255
04,Unnamed: 7,1055
05,Unnamed: 7,330
07,Unnamed: 7,542
08,Unnamed: 7,960
09,Unnamed: 7,595
10,Unnamed: 7,536
11,Unnamed: 7,314
12,Unnamed: 7,887
13,Unnamed: 7,1078
14,Unnamed: 7,190
15,Unnamed: 7,421
16,Unnamed: 7,385
17,Unnamed: 7,665
18,Unnamed: 7,131
19,Unnamed: 7,240
20,Unnamed: 7,476
21,Unnamed: 7,898
22,Unnamed: 7,685
23,Unnamed: 7,749
24,Unnamed: 7,690
25,Unnamed: 7,876
26,Unnamed: 7,233
27,Unnamed: 7,647
28,Unnamed: 7,601
29,Unnamed: 7,763
30,Unnamed: 7,1376
31,Unnamed: 7,688
32,Unnamed: 7,383
33,Unnamed: 7,485
34,Unnamed: 7,453
35,Unnamed: 7,582
36,Unnamed: 7,1078
37,Unnamed: 7,237
38,Unnamed: 7,315
39,Unnamed: 7,662
40,Unnamed: 7,183
41,Unnamed: 7,342
42,Unnamed: 7,259
43,Unnamed: 7,312
44,Unnamed: 7,652
45,Unnamed: 7,562
46,Unnamed: 7,572
47,Unnamed: 7,980
48,Unnamed: 7,604
49,Unnamed: 7,996
50,Unnamed: 7,275
51,Unnamed: 7,337
52,Unnamed: 7,558
53,Unnamed: 7,811
54,Unnamed: 7,305
55,Unnamed: 7,411
56,Unnamed: 7,1085
57,Unnamed: 7,407
58,Unnamed: 7,442
59,Unnamed: 7,584
60,Unnamed: 7,380
61,Unnamed: 7,733
62,Unnamed: 7,813
63,Unnamed: 7,786
64,Unnamed: 7,367
65,Unnamed: 7,1212
66,Unnamed: 7,214
67,Unnamed: 7,266
68,Unnamed: 7,224
69,Unnamed: 7,815
70,Unnamed: 7,370
71,Unnamed: 7,74
72,Unnamed: 7,998
73,Unnamed: 7,1150
74,Unnamed: 7,285
75,Unnamed: 7,1097
76,Unnamed: 7,1199
77,Unnamed: 7,407
78,Unnamed: 7,216
79,Unnamed: 7,711
80,Unnamed: 7,581
81,Unnamed: 7,237
İL PLAKA NO,Unnamed: 8,ANTALYA
01,Unnamed: 8,546
02,Unnamed: 8,884
03,Unnamed: 8,287
04,Unnamed: 8,1424
05,Unnamed: 8,822
06,Unnamed: 8,542
08,Unnamed: 8,1430
09,Unnamed: 8,345
10,Unnamed: 8,505
11,Unnamed: 8,472
12,Unnamed: 8,1188
13,Unnamed: 8,1288
14,Unnamed: 8,682
15,Unnamed: 8,121
16,Unnamed: 8,543
17,Unnamed: 8,693
18,Unnamed: 8,685
19,Unnamed: 8,732
20,Unnamed: 8,226
21,Unnamed: 8,1083
22,Unnamed: 8,922
23,Unnamed: 8,1051
24,Unnamed: 8,1059
25,Unnamed: 8,1244
26,Unnamed: 8,421
27,Unnamed: 8,763
28,Unnamed: 8,1092
29,Unnamed: 8,1163
30,Unnamed: 8,1453
31,Unnamed: 8,742
32,Unnamed: 8,131
33,Unnamed: 8,466
34,Unnamed: 8,715
35,Unnamed: 8,447
36,Unnamed: 8,1447
37,Unnamed: 8,790
38,Unnamed: 8,615
39,Unnamed: 8,924
40,Unnamed: 8,568
41,Unnamed: 8,605
42,Unnamed: 8,271
43,Unnamed: 8,361
44,Unnamed: 8,953
45,Unnamed: 8,427
46,Unnamed: 8,744
47,Unnamed: 8,1095
48,Unnamed: 8,309
49,Unnamed: 8,1298
50,Unnamed: 8,536
51,Unnamed: 8,541
52,Unnamed: 8,1050
53,Unnamed: 8,1303
54,Unnamed: 8,567
55,Unnamed: 8,903
56,Unnamed: 8,1262
57,Unnamed: 8,961
58,Unnamed: 8,811
59,Unnamed: 8,846
60,Unnamed: 8,872
61,Unnamed: 8,1224
62,Unnamed: 8,1182
63,Unnamed: 8,901
64,Unnamed: 8,290
65,Unnamed: 8,1447
66,Unnamed: 8,681
67,Unnamed: 8,748
68,Unnamed: 8,460
69,Unnamed: 8,1183
70,Unnamed: 8,376
71,Unnamed: 8,562
72,Unnamed: 8,1175
73,Unnamed: 8,1265
74,Unnamed: 8,804
75,Unnamed: 8,1465
76,Unnamed: 8,1568
77,Unnamed: 8,610
78,Unnamed: 8,735
79,Unnamed: 8,798
80,Unnamed: 8,636
81,Unnamed: 8,636
İL PLAKA NO,Unnamed: 9,ARTVİN
01,Unnamed: 9,1001
02,Unnamed: 9,715
03,Unnamed: 9,1224
04,Unnamed: 9,364
05,Unnamed: 9,679
06,Unnamed: 9,960
07,Unnamed: 9,1430
09,Unnamed: 9,1564
10,Unnamed: 9,1454
11,Unnamed: 9,1236
12,Unnamed: 9,371
13,Unnamed: 9,545
14,Unnamed: 9,1021
15,Unnamed: 9,1390
16,Unnamed: 9,1292
17,Unnamed: 9,1571
18,Unnamed: 9,881
19,Unnamed: 9,720
20,Unnamed: 9,1445
21,Unnamed: 9,509
22,Unnamed: 9,1516
23,Unnamed: 9,511
24,Unnamed: 9,376
25,Unnamed: 9,194
26,Unnamed: 9,1202
27,Unnamed: 9,846
28,Unnamed: 9,359
29,Unnamed: 9,312
30,Unnamed: 9,753
31,Unnamed: 9,980
32,Unnamed: 9,1352
33,Unnamed: 9,1072
34,Unnamed: 9,1284
35,Unnamed: 9,1551
36,Unnamed: 9,203
37,Unnamed: 9,844
38,Unnamed: 9,822
39,Unnamed: 9,1492
40,Unnamed: 9,941
41,Unnamed: 9,1173
42,Unnamed: 9,1117
43,Unnamed: 9,1281
44,Unnamed: 9,605
45,Unnamed: 9,1531
46,Unnamed: 9,827
47,Unnamed: 9,604
48,Unnamed: 9,1572
49,Unnamed: 9,464
50,Unnamed: 9,894
51,Unnamed: 9,943
52,Unnamed: 9,402
53,Unnamed: 9,148
54,Unnamed: 9,1136
55,Unnamed: 9,548
56,Unnamed: 9,641
57,Unnamed: 9,709
58,Unnamed: 9,624
59,Unnamed: 9,1414
60,Unnamed: 9,616
61,Unnamed: 9,227
62,Unnamed: 9,424
63,Unnamed: 9,686
64,Unnamed: 9,1336
65,Unnamed: 9,558
66,Unnamed: 9,828
67,Unnamed: 9,1057
68,Unnamed: 9,970
69,Unnamed: 9,310
70,Unnamed: 9,1118
71,Unnamed: 9,889
72,Unnamed: 9,563
73,Unnamed: 9,737
74,Unnamed: 9,1024
75,Unnamed: 9,117
76,Unnamed: 9,336
77,Unnamed: 9,1238
78,Unnamed: 9,956
79,Unnamed: 9,885
80,Unnamed: 9,909
81,Unnamed: 9,1067
İL PLAKA NO,Unnamed: 10,AYDIN
01,Unnamed: 10,879
02,Unnamed: 10,1217
03,Unnamed: 10,340
04,Unnamed: 10,1624
05,Unnamed: 10,934
06,Unnamed: 10,595
07,Unnamed: 10,345
08,Unnamed: 10,1564
10,Unnamed: 10,291
11,Unnamed: 10,525
12,Unnamed: 10,1388
13,Unnamed: 10,1579
14,Unnamed: 10,735
15,Unnamed: 10,286
16,Unnamed: 10,441
17,Unnamed: 10,448
18,Unnamed: 10,737
19,Unnamed: 10,844
20,Unnamed: 10,124
21,Unnamed: 10,1399
22,Unnamed: 10,667
23,Unnamed: 10,1250
24,Unnamed: 10,1259
25,Unnamed: 10,1444
26,Unnamed: 10,474
27,Unnamed: 10,1096
28,Unnamed: 10,1205
29,Unnamed: 10,1367
30,Unnamed: 10,1786
31,Unnamed: 10,1075
32,Unnamed: 10,288
33,Unnamed: 10,811
34,Unnamed: 10,681
35,Unnamed: 10,128
36,Unnamed: 10,1646
37,Unnamed: 10,843
38,Unnamed: 10,814
39,Unnamed: 10,682
40,Unnamed: 10,765
41,Unnamed: 10,569
42,Unnamed: 10,527
43,Unnamed: 10,414
44,Unnamed: 10,1153
45,Unnamed: 10,152
46,Unnamed: 10,1073
47,Unnamed: 10,1428
48,Unnamed: 10,98
49,Unnamed: 10,1497
50,Unnamed: 10,735
51,Unnamed: 10,762
52,Unnamed: 10,1162
53,Unnamed: 10,1415
54,Unnamed: 10,620
55,Unnamed: 10,1016
56,Unnamed: 10,1586
57,Unnamed: 10,1014
58,Unnamed: 10,1010
59,Unnamed: 10,617
60,Unnamed: 10,984
61,Unnamed: 10,1337
62,Unnamed: 10,1382
63,Unnamed: 10,1234
64,Unnamed: 10,272
65,Unnamed: 10,1713
66,Unnamed: 10,818
67,Unnamed: 10,801
68,Unnamed: 10,659
69,Unnamed: 10,1383
70,Unnamed: 10,640
71,Unnamed: 10,678
72,Unnamed: 10,1498
73,Unnamed: 10,1598
74,Unnamed: 10,856
75,Unnamed: 10,1665
76,Unnamed: 10,1767
77,Unnamed: 10,507
78,Unnamed: 10,787
79,Unnamed: 10,1131
80,Unnamed: 10,968
81,Unnamed: 10,688
İL PLAKA NO,Unnamed: 11,BALIKESİR
01,Unnamed: 11,902
02,Unnamed: 11,1239
03,Unnamed: 11,324
04,Unnamed: 11,1579
05,Unnamed: 11,844
06,Unnamed: 11,536
07,Unnamed: 11,505
08,Unnamed: 11,1454
09,Unnamed: 11,291
11,Unnamed: 11,257
12,Unnamed: 11,1410
13,Unnamed: 11,1601
14,Unnamed: 11,433
15,Unnamed: 11,393
16,Unnamed: 11,152
17,Unnamed: 11,192
18,Unnamed: 11,666
19,Unnamed: 11,785
20,Unnamed: 11,285
21,Unnamed: 11,1422
22,Unnamed: 11,419
23,Unnamed: 11,1273
24,Unnamed: 11,1214
25,Unnamed: 11,1399
26,Unnamed: 11,303
27,Unnamed: 11,1118
28,Unnamed: 11,1095
29,Unnamed: 11,1257
30,Unnamed: 11,1809
31,Unnamed: 11,1098
32,Unnamed: 11,395
33,Unnamed: 11,895
34,Unnamed: 11,393
35,Unnamed: 11,175
36,Unnamed: 11,1601
37,Unnamed: 11,680
38,Unnamed: 11,837
39,Unnamed: 11,434
40,Unnamed: 11,706
41,Unnamed: 11,280
42,Unnamed: 11,550
43,Unnamed: 11,227
44,Unnamed: 11,1176
45,Unnamed: 11,138
46,Unnamed: 11,1096
47,Unnamed: 11,1451
48,Unnamed: 11,389
49,Unnamed: 11,1520
50,Unnamed: 11,758
51,Unnamed: 11,785
52,Unnamed: 11,1053
53,Unnamed: 11,1306
54,Unnamed: 11,318
55,Unnamed: 11,906
56,Unnamed: 11,1609
57,Unnamed: 11,859
58,Unnamed: 11,987
59,Unnamed: 11,369
60,Unnamed: 11,926
61,Unnamed: 11,1227
62,Unnamed: 11,1337
63,Unnamed: 11,1257
64,Unnamed: 11,224
65,Unnamed: 11,1736
66,Unnamed: 11,760
67,Unnamed: 11,499
68,Unnamed: 11,682
69,Unnamed: 11,1296
70,Unnamed: 11,663
71,Unnamed: 11,619
72,Unnamed: 11,1521
73,Unnamed: 11,1621
74,Unnamed: 11,587
75,Unnamed: 11,1563
76,Unnamed: 11,1723
77,Unnamed: 11,218
78,Unnamed: 11,567
79,Unnamed: 11,1154
80,Unnamed: 11,991
81,Unnamed: 11,387
İL PLAKA NO,Unnamed: 12,BİLECİK
01,Unnamed: 12,785
02,Unnamed: 12,1032
03,Unnamed: 12,207
04,Unnamed: 12,1361
05,Unnamed: 12,626
06,Unnamed: 12,314
07,Unnamed: 12,472
08,Unnamed: 12,1236
09,Unnamed: 12,525
10,Unnamed: 12,257
12,Unnamed: 12,1187
13,Unnamed: 12,1378
14,Unnamed: 12,215
15,Unnamed: 12,351
16,Unnamed: 12,95
17,Unnamed: 12,374
18,Unnamed: 12,447
19,Unnamed: 12,563
20,Unnamed: 12,406
21,Unnamed: 12,1199
22,Unnamed: 12,480
23,Unnamed: 12,1050
24,Unnamed: 12,996
25,Unnamed: 12,1181
26,Unnamed: 12,80
27,Unnamed: 12,948
28,Unnamed: 12,877
29,Unnamed: 12,1039
30,Unnamed: 12,1676
31,Unnamed: 12,981
32,Unnamed: 12,352
33,Unnamed: 12,778
34,Unnamed: 12,248
35,Unnamed: 12,430
36,Unnamed: 12,1383
37,Unnamed: 12,462
38,Unnamed: 12,616
39,Unnamed: 12,457
40,Unnamed: 12,483
41,Unnamed: 12,138
42,Unnamed: 12,433
43,Unnamed: 12,110
44,Unnamed: 12,953
45,Unnamed: 12,393
46,Unnamed: 12,873
47,Unnamed: 12,1281
48,Unnamed: 12,533
49,Unnamed: 12,1297
50,Unnamed: 12,576
51,Unnamed: 12,635
52,Unnamed: 12,835
53,Unnamed: 12,1088
54,Unnamed: 12,100
55,Unnamed: 12,688
56,Unnamed: 12,1386
57,Unnamed: 12,641
58,Unnamed: 12,765
59,Unnamed: 12,379
60,Unnamed: 12,703
61,Unnamed: 12,1009
62,Unnamed: 12,1119
63,Unnamed: 12,1087
64,Unnamed: 12,249
65,Unnamed: 12,1513
66,Unnamed: 12,537
67,Unnamed: 12,281
68,Unnamed: 12,522
69,Unnamed: 12,1078
70,Unnamed: 12,546
71,Unnamed: 12,397
72,Unnamed: 12,1298
73,Unnamed: 12,1450
74,Unnamed: 12,369
75,Unnamed: 12,1345
76,Unnamed: 12,1505
77,Unnamed: 12,125
78,Unnamed: 12,349
79,Unnamed: 12,1011
80,Unnamed: 12,874
81,Unnamed: 12,168
İL PLAKA NO,Unnamed: 13,BİNGÖL
01,Unnamed: 13,631
02,Unnamed: 13,347
03,Unnamed: 13,1087
04,Unnamed: 13,359
05,Unnamed: 13,641
06,Unnamed: 13,887
07,Unnamed: 13,1188
08,Unnamed: 13,371
09,Unnamed: 13,1388
10,Unnamed: 13,1410
11,Unnamed: 13,1187
13,Unnamed: 13,192
14,Unnamed: 13,1075
15,Unnamed: 13,1155
16,Unnamed: 13,1259
17,Unnamed: 13,1538
18,Unnamed: 13,918
19,Unnamed: 13,759
20,Unnamed: 13,1269
21,Unnamed: 13,141
22,Unnamed: 13,1570
23,Unnamed: 13,141
24,Unnamed: 13,272
25,Unnamed: 13,177
26,Unnamed: 13,1107
27,Unnamed: 13,476
28,Unnamed: 13,539
29,Unnamed: 13,378
30,Unnamed: 13,490
31,Unnamed: 13,610
32,Unnamed: 13,1127
33,Unnamed: 13,702
34,Unnamed: 13,1338
